day,price_close,price_high,price_low,price_open
2018-05-28,111.35,118.99,110.51,117.99
2018-05-27,117.71,118.99,116.56,118.46
2018-05-26,118.45,122.7,117.6,119.0
2018-05-25,119.0,124.44,117.0,122.48
2018-05-24,122.87,124.94,115.0,118.97
2018-05-23,118.95,129.33,116.45,128.47
2018-05-22,128.21,136.0,127.44,134.0
2018-05-21,134.37,139.99,133.52,139.98
2018-05-20,139.86,140.87,132.47,135.2
2018-05-19,135.3,137.86,133.0,136.21
2018-05-18,135.75,137.78,129.0,132.33
2018-05-17,132.5,141.49,131.26,139.62
2018-05-16,139.72,141.32,134.8,139.6
2018-05-15,139.78,149.71,137.89,147.35
2018-05-14,147.54,152.9,134.51,143.73
2018-05-13,144.13,147.12,136.58,141.99
2018-05-12,141.91,144.5,131.11,136.86
2018-05-11,136.62,148.51,133.35,148.29
2018-05-10,148.49,160.57,147.49,156.96
2018-05-09,156.62,160.07,150.12,158.96
2018-05-08,158.96,168.22,156.91,164.32
2018-05-07,164.13,171.77,157.56,171.34
2018-05-06,171.77,183.58,164.14,178.11
2018-05-05,178.1,182.72,167.91,168.06
2018-05-04,168.06,171.06,157.33,160.9
2018-05-03,160.95,164.9,150.49,151.96
2018-05-02,151.42,153.62,146.19,148.13
2018-05-01,147.94,148.8,142.75,147.83
2018-04-30,148.28,154.48,147.01,153.39
2018-04-29,153.92,156.02,148.11,152.15
2018-04-28,152.18,153.7,144.44,145.64
2018-04-27,146.07,153.67,145.11,153.26
2018-04-26,153.26,154.57,142.08,144.3
2018-04-25,144.99,165.02,142.43,164.82
2018-04-24,164.82,166.09,152.58,152.6
2018-04-23,152.61,153.45,146.07,146.63
2018-04-22,146.02,153.15,144.6,148.41
2018-04-21,148.65,157.0,140.61,155.46
2018-04-20,155.46,156.6,143.19,146.54
2018-04-19,146.63,147.74,138.7,140.23
2018-04-18,140.07,141.69,131.85,132.06
2018-04-17,132.13,140.31,128.55,128.6
2018-04-16,128.74,133.23,125.22,132.34
2018-04-15,132.29,133.04,126.61,126.61
2018-04-14,126.56,129.9,124.1,125.4
2018-04-13,125.67,133.69,123.7,129.52
2018-04-12,129.77,130.95,112.61,117.9
2018-04-11,117.91,119.7,112.99,114.11
2018-04-10,114.4,115.32,111.0,115.08
2018-04-09,114.83,122.79,112.55,117.96
2018-04-08,117.56,118.97,115.0,116.11
2018-04-07,116.04,119.7,112.81,113.23
2018-04-06,113.16,120.27,111.73,118.81
2018-04-05,118.47,122.7,113.95,118.18
2018-04-04,118.41,134.68,115.23,134.11
2018-04-03,134.28,136.91,118.33,119.16
2018-04-02,119.02,121.6,114.07,115.08
2018-04-01,114.96,117.99,109.38,116.5
2018-03-31,116.48,124.69,115.56,118.56
2018-03-30,118.32,126.4,109.54,114.7
2018-03-29,114.51,132.41,112.29,131.52
2018-03-28,131.37,139.91,130.0,134.8
2018-03-27,135.01,149.4,134.66,148.3
2018-03-26,148.27,161.03,141.73,160.69
2018-03-25,160.29,164.0,157.07,158.71
2018-03-24,158.34,169.76,157.82,169.06
2018-03-23,168.91,169.03,156.62,163.38
2018-03-22,164.0,172.43,159.51,168.66
2018-03-21,168.41,175.99,165.12,169.04
2018-03-20,169.04,173.7,155.71,161.33
2018-03-19,161.29,163.95,151.11,153.59
2018-03-18,153.59,157.82,137.2,152.22
2018-03-17,152.23,165.62,150.51,164.62
2018-03-16,164.68,172.1,158.5,164.43
2018-03-15,164.54,168.01,150.11,160.69
2018-03-14,160.62,178.88,157.5,175.99
2018-03-13,175.33,182.02,171.0,177.39
2018-03-12,177.71,193.37,173.32,188.35
2018-03-11,188.57,194.0,171.0,177.44
2018-03-10,177.74,195.0,175.25,186.19
2018-03-09,186.18,189.98,158.57,175.79
2018-03-08,175.79,188.02,174.2,185.35
2018-03-07,185.7,199.52,173.73,196.46
2018-03-06,196.27,210.26,191.2,210.26
2018-03-05,210.26,216.31,208.57,213.17
2018-03-04,212.8,214.65,204.68,209.9
2018-03-03,210.0,218.65,207.98,212.82
2018-03-02,212.7,213.93,203.82,209.73
2018-03-01,209.33,215.38,200.01,201.39
2018-02-28,201.83,223.9,201.18,215.43
2018-02-27,215.3,224.0,212.11,218.66
2018-02-26,218.09,231.76,214.93,218.81
2018-02-25,218.64,223.62,200.0,205.46
2018-02-24,205.24,218.97,194.4,206.75
2018-02-23,207.32,216.25,182.1,192.54
2018-02-22,192.68,221.42,188.35,209.84
2018-02-21,209.75,231.52,204.26,228.19
