day,price_close,price_high,price_low,price_open
2018-06-09,593.88,610.0,590.93,599.82
2018-06-08,599.88,608.0,592.06,603.57
2018-06-07,604.05,616.74,597.96,606.38
2018-06-06,606.39,612.04,593.4,607.99
2018-06-05,607.53,613.0,576.47,591.61
2018-06-04,590.0,625.4,579.03,619.47
2018-06-03,619.59,628.78,590.0,590.99
2018-06-02,591.0,599.5,573.32,578.99
2018-06-01,578.96,589.0,563.38,576.48
2018-05-31,576.85,586.0,553.2,556.44
2018-05-30,556.82,585.32,541.3,566.78
2018-05-29,566.99,573.34,510.05,512.23
2018-05-28,512.23,576.45,506.3,569.69
2018-05-27,571.39,592.88,556.92,585.52
2018-05-26,585.65,607.7,578.84,584.99
2018-05-25,584.99,616.18,569.19,601.92
2018-05-24,601.76,609.0,549.28,578.4
2018-05-23,576.84,649.89,564.94,640.56
2018-05-22,640.86,699.57,637.93,698.09
2018-05-21,696.43,720.0,687.8,716.0
2018-05-20,716.0,723.16,687.89,694.99
2018-05-19,695.88,716.93,683.0,693.99
2018-05-18,692.54,694.96,656.36,668.7
2018-05-17,669.04,718.9,660.65,706.56
2018-05-16,706.88,712.0,674.57,704.76
2018-05-15,707.38,739.37,695.74,727.0
2018-05-14,727.62,743.0,686.63,730.36
2018-05-13,730.06,741.61,668.78,684.68
2018-05-12,683.99,692.7,638.15,677.38
2018-05-11,677.26,735.68,662.57,723.25
2018-05-10,723.6,766.99,720.0,749.77
2018-05-09,749.58,759.9,710.01,746.86
2018-05-08,747.92,775.11,716.0,751.85
2018-05-07,751.18,791.0,691.99,787.42
2018-05-06,787.42,832.37,749.0,815.45
2018-05-05,815.45,830.0,778.03,782.09
2018-05-04,782.47,803.99,758.1,776.92
2018-05-03,776.92,785.0,684.89,687.0
2018-05-02,687.29,690.05,661.03,670.98
2018-05-01,669.86,674.01,627.22,670.1
2018-04-30,669.98,694.14,663.0,689.38
2018-04-29,689.23,699.97,666.0,683.69
2018-04-28,683.38,697.08,639.05,642.57
2018-04-27,642.54,685.0,636.15,661.04
2018-04-26,660.95,666.0,598.15,617.61
2018-04-25,617.02,704.01,595.0,703.32
2018-04-24,703.71,711.7,643.68,643.68
2018-04-23,643.77,648.24,618.56,620.45
2018-04-22,621.5,643.46,591.31,604.85
2018-04-21,604.85,624.75,573.58,616.41
2018-04-20,617.7,622.26,556.37,566.66
2018-04-19,566.46,569.0,520.2,524.32
2018-04-18,525.2,526.66,501.28,502.51
2018-04-17,502.8,521.36,500.54,511.26
2018-04-16,510.57,537.43,498.34,533.86
2018-04-15,533.83,535.0,503.14,503.14
2018-04-14,503.41,515.91,486.0,496.07
2018-04-13,495.95,529.36,481.67,494.0
2018-04-12,494.31,498.0,413.8,430.0
2018-04-11,430.0,433.46,411.0,415.34
2018-04-10,415.65,418.3,391.28,399.36
2018-04-09,399.0,431.36,386.19,400.07
2018-04-08,399.81,410.0,384.14,384.94
